SID, PID ,SubClass,LotArea,LandContour,Utilities,Neighborhood,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodel,BsmtQual,BsmtCond,TotalBsmtSF,Heating,CentralAir,Electrical,FirstFlrSF,SecondFlrSF,GrLivArea,GarageCars,GarageArea,YrSold,SaleType, SalePrice , living_area,total_area_,ratio_living_to_totalLivingToTotal,ratio_lot_to_living,prie_per_leaving_sf,price_per_total_sf
38,"$528,112,020.00 ",20,11478,Lvl,AllPub,NridgHt,1Fam,1Story,8,5,2007,2008,Ex,TA,1704,GasA,Y,SBrkr,1704,0,1704,3,772,2010,WD ,"306,000","1,704","3,408",0.5,6.74,$179.58 ,$89.79 
42,"$528,120,120.00 ",20,11520,Lvl,AllPub,NridgHt,1Fam,1Story,9,5,2005,2005,Ex,TA,1698,GasA,Y,SBrkr,1698,0,1698,3,730,2010,WD ,"275,000","1,698","3,396",0.5,6.78,$161.96 ,$80.98 
43,"$528,138,020.00 ",20,14122,Lvl,AllPub,NridgHt,1Fam,1Story,8,5,2005,2006,Ex,TA,1822,GasA,Y,SBrkr,1822,0,1822,3,678,2010,WD ,"259,000","1,822","3,644",0.5,7.75,$142.15 ,$71.08 
44,"$528,138,060.00 ",20,10171,Lvl,AllPub,NridgHt,1Fam,1Story,7,5,2004,2004,Gd,TA,1517,GasA,Y,SBrkr,1535,0,1535,2,532,2010,WD ,"214,000","1,535","3,052",0.502948886,6.63,$139.41 ,$70.12 
47,"$528,176,010.00 ",20,14300,HLS,AllPub,NridgHt,1Fam,1Story,9,5,2003,2004,Ex,TA,2846,GasA,Y,SBrkr,2696,0,2696,3,958,2010,WD ,"500,000","2,696","5,542",0.486466979,5.3,$185.46 ,$90.22 
48,"$528,176,070.00 ",60,13650,Lvl,AllPub,NridgHt,1Fam,2Story,8,5,2002,2002,Gd,TA,1671,GasA,Y,SBrkr,1687,563,2250,3,756,2010,WD ,"320,000","2,250","3,921",0.573833206,6.07,$142.22 ,$81.61 
49,"$528,180,070.00 ",120,7658,Lvl,AllPub,NridgHt,TwnhsE,1Story,9,5,2005,2005,Ex,TA,1752,GasA,Y,SBrkr,1752,0,1752,2,576,2010,WD ,"319,900","1,752","3,504",0.5,4.37,$182.59 ,$91.30 
50,"$528,181,050.00 ",120,7132,Lvl,AllPub,NridgHt,TwnhsE,1Story,8,5,2006,2006,Gd,TA,1370,GasA,Y,SBrkr,1370,0,1370,2,484,2010,WD ,"205,000","1,370","2,740",0.5,5.21,$149.64 ,$74.82 
51,"$528,188,120.00 ",160,2628,Lvl,AllPub,NridgHt,Twnhs,2Story,7,5,2003,2003,Gd,TA,764,GasA,Y,SBrkr,764,862,1626,2,474,2010,WD ,"175,500","1,626","2,390",0.680334728,1.62,$107.93 ,$73.43 
52,"$528,218,150.00 ",20,18494,Lvl,AllPub,Gilbert,1Fam,1Story,6,5,2005,2005,Gd,TA,1324,GasA,Y,SBrkr,1324,0,1324,2,430,2010,WD ,"199,500","1,324","2,648",0.5,13.97,$150.68 ,$75.34 
53,"$528,228,285.00 ",120,3203,Lvl,AllPub,Blmngtn,TwnhsE,1Story,7,5,2006,2006,Gd,TA,1145,GasA,Y,SBrkr,1145,0,1145,2,437,2010,WD ,"160,000","1,145","2,290",0.5,2.8,$139.74 ,$69.87 
54,"$528,228,440.00 ",120,3182,Lvl,AllPub,Blmngtn,TwnhsE,1Story,8,5,2004,2005,Gd,TA,1256,GasA,Y,SBrkr,1269,0,1269,2,430,2010,WD ,"192,000","1,269","2,525",0.502574257,2.51,$151.30 ,$76.04 
55,"$528,231,020.00 ",80,13300,Lvl,AllPub,Gilbert,1Fam,SLvl,7,5,2004,2004,Gd,TA,384,GasA,Y,SBrkr,744,630,1374,2,400,2010,WD ,"184,500","1,374","1,758",0.781569966,9.68,$134.28 ,$104.95 
56,"$528,240,070.00 ",60,7851,Lvl,AllPub,Gilbert,1Fam,2Story,6,5,2002,2002,Gd,TA,860,GasA,Y,SBrkr,860,1100,1960,2,440,2010,WD ,"216,500","1,960","2,820",0.695035461,4.01,$110.46 ,$76.77 
57,"$528,240,130.00 ",60,8577,Lvl,AllPub,Gilbert,1Fam,2Story,7,5,2004,2004,Gd,TA,847,GasA,Y,SBrkr,847,886,1733,2,433,2010,WD ,"185,088","1,733","2,580",0.671705426,4.95,$106.80 ,$71.74 
58,"$528,250,100.00 ",80,7750,Lvl,AllPub,Gilbert,1Fam,SLvl,7,5,2000,2000,Gd,TA,384,GasA,Y,SBrkr,774,656,1430,2,400,2010,WD ,"180,000","1,430","1,814",0.78831312,5.42,$125.87 ,$99.23 
59,"$528,292,020.00 ",60,9505,Lvl,AllPub,Gilbert,1Fam,2Story,7,5,2001,2001,Gd,TA,884,GasA,Y,SBrkr,884,1151,2035,2,434,2010,WD ,"222,500","2,035","2,919",0.69715656,4.67,$109.34 ,$76.22 
60,"$528,328,100.00 ",60,14774,Lvl,AllPub,NoRidge,1Fam,2Story,9,5,1999,1999,Gd,TA,1393,GasA,Y,SBrkr,1422,1177,2599,3,779,2010,WD ,"333,168","2,599","3,992",0.651052104,5.68,$128.19 ,$83.46 
61,"$528,344,070.00 ",60,17433,Lvl,AllPub,NoRidge,1Fam,2Story,8,5,1998,1998,Ex,TA,1629,GasA,Y,SBrkr,1645,830,2475,3,962,2010,WD ,"355,000","2,475","4,104",0.603070175,7.04,$143.43 ,$86.50 
62,"$528,358,010.00 ",20,10593,Lvl,AllPub,NoRidge,1Fam,1Story,7,5,1996,1996,Gd,TA,1720,GasA,Y,SBrkr,1720,0,1720,2,527,2010,WD ,"260,400","1,720","3,440",0.5,6.16,$151.40 ,$75.70 
63,"$528,363,130.00 ",60,12256,Lvl,AllPub,NoRidge,1Fam,2Story,8,5,1994,1995,Ex,TA,1463,GasA,Y,SBrkr,1500,1122,2622,2,712,2010,WD ,"325,000","2,622","4,085",0.641860465,4.67,$123.95 ,$79.56 
64,"$528,382,020.00 ",60,11764,Lvl,AllPub,NoRidge,1Fam,2Story,8,7,1999,2007,Gd,TA,1152,GasA,Y,SBrkr,1164,1106,2270,3,671,2010,WD ,"290,000","2,270","3,422",0.663354763,5.18,$127.75 ,$84.75 
65,"$528,382,030.00 ",60,16770,Lvl,AllPub,NoRidge,1Fam,2Story,7,5,1998,1998,Gd,TA,1195,GasA,Y,SBrkr,1195,644,1839,2,486,2010,WD ,"221,000","1,839","3,034",0.606130521,9.12,$120.17 ,$72.84 
66,"$528,386,040.00 ",50,14720,Lvl,AllPub,NoRidge,1Fam,1.5Fin,8,5,1995,1996,Gd,TA,2033,GasA,Y,SBrkr,2053,1185,3238,3,666,2010,WD ,"410,000","3,238","5,271",0.614304686,4.55,$126.62 ,$77.78 
67,"$528,445,060.00 ",20,8987,Lvl,AllPub,Somerst,1Fam,1Story,8,5,2005,2006,Gd,TA,1595,GasA,Y,SBrkr,1595,0,1595,3,880,2010,WD ,"221,500","1,595","3,190",0.5,5.63,$138.87 ,$69.44 
73,"$531,367,050.00 ",60,10142,Lvl,AllPub,SawyerW,1Fam,2Story,7,5,2004,2004,Gd,TA,956,GasA,Y,SBrkr,956,1128,2084,2,618,2010,WD ,"233,000","2,084","3,040",0.685526316,4.87,$111.80 ,$76.64 
74,"$531,369,060.00 ",60,11920,Lvl,AllPub,SawyerW,1Fam,2Story,7,5,2004,2004,Gd,TA,831,GasA,Y,SBrkr,831,828,1659,2,484,2010,WD ,"181,000","1,659","2,490",0.66626506,7.19,$109.10 ,$72.69 
75,"$531,380,080.00 ",60,8880,Lvl,AllPub,SawyerW,1Fam,2Story,7,5,1994,2002,Gd,TA,948,GasA,Y,SBrkr,1222,888,2110,2,463,2010,WD ,"205,000","2,110","3,058",0.68999346,4.21,$97.16 ,$67.04 
76,"$531,451,110.00 ",120,8012,Lvl,AllPub,SawyerW,TwnhsE,1Story,6,5,1980,1980,Gd,TA,923,GasA,Y,SBrkr,923,0,923,1,264,2010,WD ,"143,000",923,"1,846",0.5,8.68,$154.93 ,$77.46 
77,"$531,451,280.00 ",60,11218,Lvl,AllPub,SawyerW,1Fam,2Story,6,5,1992,1992,Gd,TA,1055,GasA,Y,SBrkr,1055,790,1845,2,462,2010,WD ,"189,000","1,845","2,900",0.636206897,6.08,$102.44 ,$65.17 
78,"$531,452,020.00 ",120,7892,Lvl,AllPub,SawyerW,TwnhsE,1Story,6,5,1979,1979,Gd,TA,918,GasA,Y,SBrkr,918,0,918,1,264,2010,WD ,"99,500",918,"1,836",0.5,8.6,$108.39 ,$54.19 
79,"$531,452,050.00 ",120,7175,Lvl,AllPub,SawyerW,TwnhsE,1Story,6,5,1984,1984,Gd,TA,744,GasA,Y,SBrkr,752,0,752,1,264,2010,WD ,"125,000",752,"1,496",0.502673797,9.54,$166.22 ,$83.56 
80,"$531,452,180.00 ",60,9453,Lvl,AllPub,SawyerW,1Fam,2Story,7,7,1993,2003,Gd,TA,996,GasA,Y,SBrkr,1014,730,1744,2,457,2010,WD ,"194,500","1,744","2,740",0.63649635,5.42,$111.53 ,$70.99 
81,"$531,453,010.00 ",20,9672,Lvl,AllPub,SawyerW,1Fam,1Story,6,5,1984,1985,Gd,TA,1040,GasA,Y,SBrkr,1097,0,1097,2,480,2010,WD ,"152,000","1,097","2,137",0.513336453,8.82,$138.56 ,$71.13 
82,"$531,453,040.00 ",60,8400,Lvl,AllPub,SawyerW,1Fam,2Story,6,6,1980,1981,Gd,TA,650,GasA,Y,SBrkr,888,676,1564,2,476,2010,WD ,"171,000","1,564","2,214",0.706413731,5.37,$109.34 ,$77.24 
85,"$532,354,090.00 ",85,11782,Lvl,AllPub,Sawyer,1Fam,SFoyer,5,7,1961,1995,TA,TA,1109,GasA,Y,SBrkr,1155,0,1155,2,576,2010,WD ,"148,000","1,155","2,264",0.510159011,10.2,$128.14 ,$65.37 
86,"$532,376,160.00 ",20,8450,Lvl,AllPub,Sawyer,1Fam,1Story,5,8,1965,2009,TA,TA,894,GasA,Y,SBrkr,894,0,894,1,336,2010,WD ,"138,500",894,"1,788",0.5,9.45,$154.92 ,$77.46 
87,"$532,377,060.00 ",20,9819,Lvl,AllPub,Sawyer,1Fam,1Story,5,5,1967,1967,TA,TA,882,GasA,Y,SBrkr,900,0,900,1,280,2010,WD ,"122,000",900,"1,782",0.505050505,10.91,$135.56 ,$68.46 
88,"$532,377,100.00 ",20,7500,Lvl,AllPub,Sawyer,1Fam,1Story,5,5,1963,1963,TA,TA,1040,GasA,Y,SBrkr,1040,0,1040,1,308,2010,WD ,"133,000","1,040","2,080",0.5,7.21,$127.88 ,$63.94 
89,"$532,378,110.00 ",20,6897,Lvl,AllPub,Sawyer,1Fam,1Story,5,8,1962,2010,TA,TA,1040,GasA,Y,SBrkr,1040,0,1040,1,260,2010,WD ,"127,000","1,040","2,080",0.5,6.63,$122.12 ,$61.06 
91,"$533,130,020.00 ",60,10186,Lvl,AllPub,NoRidge,1Fam,2Story,7,5,1992,1992,Gd,TA,750,GasA,Y,SBrkr,1061,862,1923,2,564,2010,WD ,"190,000","1,923","2,673",0.719416386,5.3,$98.80 ,$71.08 
92,"$533,130,130.00 ",60,13143,Lvl,AllPub,NoRidge,1Fam,2Story,8,5,1993,1993,Gd,TA,1231,GasA,Y,SBrkr,1251,1098,2349,3,762,2010,WD ,"362,500","2,349","3,580",0.656145251,5.6,$154.32 ,$101.26 
93,"$533,130,160.00 ",60,11134,Lvl,AllPub,NoRidge,1Fam,2Story,8,5,1992,1993,Gd,TA,1390,GasA,Y,SBrkr,1402,823,2225,3,713,2010,WD ,"285,000","2,225","3,615",0.61549101,5,$128.09 ,$78.84 
107,"$533,253,060.00 ",120,4420,Lvl,AllPub,Greens,TwnhsE,1Story,8,5,1980,1980,Gd,TA,728,GasA,Y,SBrkr,788,0,788,2,484,2010,WD ,"155,000",788,"1,516",0.519788918,5.61,$196.70 ,$102.24 
108,"$533,253,210.00 ",120,3880,Lvl,AllPub,Greens,Twnhs,1Story,8,6,1978,1978,Gd,TA,1226,GasA,Y,SBrkr,1226,0,1226,2,484,2010,WD ,"206,000","1,226","2,452",0.5,3.16,$168.03 ,$84.01 
109,"$533,352,170.00 ",60,13517,Lvl,AllPub,Sawyer,1Fam,2Story,6,8,1976,2005,TA,TA,725,GasA,Y,SBrkr,725,754,1479,2,475,2010,WD ,"130,500","1,479","2,204",0.671052632,9.14,$88.24 ,$59.21 
111,"$534,129,040.00 ",20,10456,Lvl,AllPub,NWAmes,1Fam,1Story,6,6,1967,1967,TA,TA,1829,GasA,Y,SBrkr,1829,0,1829,2,535,2010,WD ,"218,500","1,829","3,658",0.5,5.72,$119.46 ,$59.73 
112,"$534,151,175.00 ",60,10791,Lvl,AllPub,NWAmes,1Fam,2Story,6,5,1993,1993,Gd,TA,1280,GasA,Y,SBrkr,1280,1215,2495,2,660,2010,WD ,"243,500","2,495","3,775",0.660927152,4.33,$97.60 ,$64.50 
113,"$534,152,050.00 ",20,10603,Lvl,AllPub,NWAmes,1Fam,1Story,6,7,1977,2001,TA,TA,1610,GasA,Y,SBrkr,1610,0,1610,2,480,2010,WD ,"205,000","1,610","3,220",0.5,6.59,$127.33 ,$63.66 
114,"$534,152,070.00 ",50,18837,Lvl,AllPub,NWAmes,1Fam,1.5Fin,6,5,1978,1978,Gd,TA,1224,GasA,Y,SBrkr,1287,604,1891,2,678,2010,WD ,"212,500","1,891","3,115",0.6070626,9.96,$112.37 ,$68.22 
115,"$534,152,100.00 ",60,10421,Lvl,AllPub,NWAmes,1Fam,2Story,7,5,1988,1988,Gd,TA,980,GasA,Y,SBrkr,980,734,1714,2,496,2010,WD ,"196,500","1,714","2,694",0.636228656,6.08,$114.64 ,$72.94 
116,"$534,176,060.00 ",20,9360,Lvl,AllPub,NWAmes,1Fam,1Story,6,7,1972,2006,TA,TA,1161,GasA,Y,SBrkr,1381,0,1381,2,676,2010,WD ,"197,500","1,381","2,542",0.543273013,6.78,$143.01 ,$77.69 
117,"$534,176,230.00 ",60,9600,Lvl,AllPub,NWAmes,1Fam,2Story,6,6,1971,1971,TA,TA,715,GasA,Y,SBrkr,930,715,1645,2,441,2010,WD ,"171,000","1,645","2,360",0.697033898,5.84,$103.95 ,$72.46 
118,"$534,202,160.00 ",20,9600,Lvl,AllPub,NAmes,1Fam,1Story,5,5,1966,1966,TA,TA,1232,GasA,Y,SBrkr,1232,0,1232,2,490,2010,WD ,"142,250","1,232","2,464",0.5,7.79,$115.46 ,$57.73 
119,"$534,251,320.00 ",20,9790,Lvl,AllPub,NWAmes,1Fam,1Story,6,5,1963,1963,TA,TA,1328,GasA,Y,SBrkr,1328,0,1328,2,528,2010,WD ,"143,000","1,328","2,656",0.5,7.37,$107.68 ,$53.84 
120,"$534,276,360.00 ",20,9320,Lvl,AllPub,NAmes,1Fam,1Story,4,5,1959,1959,TA,TA,950,GasA,Y,SBrkr,1225,0,1225,0,0,2010,WD ,"128,950","1,225","2,175",0.563218391,7.61,$105.27 ,$59.29 
